Date,Day_of_Week,Month,Week_of_Year,Is_Weekend,Year,Simulated_Patient_Visits,Actual_Consumption,Expected_Lead_Time_Days,Medicine_Shelf_Life_Days,Min_Order_Quantity,Consumption_Lag_1D,Consumption_Lag_7D,Consumption_Avg_7D,Consumption_Avg_30D
2015-05-28,Thursday,5,22,0,2015,1102,595,3,730,1000,601.0,769.0,590.1428571428571,640.1666666666666
2015-05-29,Friday,5,22,0,2015,1114,565,3,730,1000,595.0,508.0,565.2857142857143,630.9
2015-05-30,Saturday,5,22,1,2015,977,510,3,730,1000,565.0,497.0,573.4285714285714,632.0
2015-05-31,Sunday,5,22,1,2015,850,460,3,730,1000,510.0,531.0,575.2857142857143,625.2
2015-06-01,Monday,6,23,0,2015,971,558,3,730,1000,460.0,610.0,565.1428571428571,615.6
2015-06-02,Tuesday,6,23,0,2015,1084,619,3,730,1000,558.0,615.0,557.7142857142857,616.1666666666666
2015-06-03,Wednesday,6,23,0,2015,1139,516,3,730,1000,619.0,601.0,558.2857142857143,615.7
2015-06-04,Thursday,6,23,0,2015,1173,514,3,730,1000,516.0,595.0,546.1428571428571,610.4666666666667
2015-06-05,Friday,6,23,0,2015,1152,519,3,730,1000,514.0,565.0,534.5714285714286,604.3666666666667
2015-06-06,Saturday,6,23,1,2015,945,447,3,730,1000,519.0,510.0,528.0,598.4666666666667
2015-06-07,Sunday,6,23,1,2015,967,468,3,730,1000,447.0,460.0,519.0,592.0
2015-06-08,Monday,6,24,0,2015,1119,500,3,730,1000,468.0,558.0,520.1428571428571,585.1
2015-06-09,Tuesday,6,24,0,2015,1042,467,3,730,1000,500.0,619.0,511.85714285714283,582.2
2015-06-10,Wednesday,6,24,0,2015,963,554,3,730,1000,467.0,516.0,490.14285714285717,580.0333333333333
2015-06-11,Thursday,6,24,0,2015,1020,484,3,730,1000,554.0,514.0,495.57142857142856,577.2666666666667
2015-06-12,Friday,6,24,0,2015,1004,446,3,730,1000,484.0,519.0,491.2857142857143,568.7333333333333
2015-06-13,Saturday,6,24,1,2015,862,371,3,730,1000,446.0,447.0,480.85714285714283,558.5666666666667
2015-06-14,Sunday,6,24,1,2015,928,332,3,730,1000,371.0,468.0,470.0,547.2333333333333
2015-06-15,Monday,6,25,0,2015,937,524,3,730,1000,332.0,500.0,450.57142857142856,536.7333333333333
2015-06-16,Tuesday,6,25,0,2015,1012,524,3,730,1000,524.0,467.0,454.0,535.5333333333333
2015-06-17,Wednesday,6,25,0,2015,1047,549,3,730,1000,524.0,554.0,462.14285714285717,535.1
2015-06-18,Thursday,6,25,0,2015,909,487,3,730,1000,549.0,484.0,461.42857142857144,529.4
2015-06-19,Friday,6,25,0,2015,1014,509,3,730,1000,487.0,446.0,461.85714285714283,523.5666666666667
2015-06-20,Saturday,6,25,1,2015,673,315,3,730,1000,509.0,371.0,470.85714285714283,521.6333333333333
2015-06-21,Sunday,6,25,1,2015,826,409,3,730,1000,315.0,332.0,462.85714285714283,506.5
2015-06-22,Monday,6,26,0,2015,857,476,3,730,1000,409.0,524.0,473.85714285714283,503.2
2015-06-23,Tuesday,6,26,0,2015,926,449,3,730,1000,476.0,524.0,467.0,502.5
2015-06-24,Wednesday,6,26,0,2015,713,522,3,730,1000,449.0,549.0,456.2857142857143,499.76666666666665
2015-06-25,Thursday,6,26,0,2015,979,499,3,730,1000,522.0,487.0,452.42857142857144,496.8333333333333
2015-06-26,Friday,6,26,0,2015,961,473,3,730,1000,499.0,509.0,454.14285714285717,492.96666666666664
2015-06-27,Saturday,6,26,1,2015,867,312,3,730,1000,473.0,315.0,449.0,488.7
2015-06-28,Sunday,6,26,1,2015,797,354,3,730,1000,312.0,409.0,448.57142857142856,479.26666666666665
2015-06-29,Monday,6,27,0,2015,952,393,3,730,1000,354.0,476.0,440.7142857142857,472.23333333333335
2015-06-30,Tuesday,6,27,0,2015,932,416,3,730,1000,393.0,449.0,428.85714285714283,468.3333333333333
2015-07-01,Wednesday,7,27,0,2015,791,532,3,730,1000,416.0,522.0,424.14285714285717,466.8666666666667
2015-07-02,Thursday,7,27,0,2015,913,385,3,730,1000,532.0,499.0,425.57142857142856,466.0
2015-07-03,Friday,7,27,0,2015,921,448,3,730,1000,385.0,473.0,409.2857142857143,458.2
2015-07-04,Saturday,7,27,1,2015,917,330,3,730,1000,448.0,312.0,405.7142857142857,455.93333333333334
2015-07-05,Sunday,7,27,1,2015,710,404,3,730,1000,330.0,354.0,408.2857142857143,449.8
2015-07-06,Monday,7,28,0,2015,1037,419,3,730,1000,404.0,393.0,415.42857142857144,445.96666666666664
2015-07-07,Tuesday,7,28,0,2015,937,451,3,730,1000,419.0,416.0,419.14285714285717,445.03333333333336
2015-07-08,Wednesday,7,28,0,2015,832,382,3,730,1000,451.0,532.0,424.14285714285717,444.46666666666664
2015-07-09,Thursday,7,28,0,2015,1064,415,3,730,1000,382.0,385.0,402.7142857142857,440.53333333333336
2015-07-10,Friday,7,28,0,2015,807,429,3,730,1000,415.0,448.0,407.0,438.8
2015-07-11,Saturday,7,28,1,2015,727,346,3,730,1000,429.0,330.0,404.2857142857143,434.6333333333333
2015-07-12,Sunday,7,28,1,2015,747,338,3,730,1000,346.0,404.0,406.57142857142856,430.03333333333336
2015-07-13,Monday,7,29,0,2015,912,431,3,730,1000,338.0,419.0,397.14285714285717,426.43333333333334
2015-07-14,Tuesday,7,29,0,2015,905,440,3,730,1000,431.0,451.0,398.85714285714283,428.43333333333334
2015-07-15,Wednesday,7,29,0,2015,846,391,3,730,1000,440.0,382.0,397.2857142857143,432.03333333333336
2015-07-16,Thursday,7,29,0,2015,977,440,3,730,1000,391.0,415.0,398.57142857142856,427.6
2015-07-17,Friday,7,29,0,2015,825,336,3,730,1000,440.0,429.0,402.14285714285717,424.8
2015-07-18,Saturday,7,29,1,2015,787,365,3,730,1000,336.0,346.0,388.85714285714283,417.7
2015-07-19,Sunday,7,29,1,2015,742,354,3,730,1000,365.0,338.0,391.57142857142856,413.6333333333333
2015-07-20,Monday,7,30,0,2015,890,297,3,730,1000,354.0,431.0,393.85714285714283,408.46666666666664
2015-07-21,Tuesday,7,30,0,2015,811,321,3,730,1000,297.0,440.0,374.7142857142857,407.8666666666667
2015-07-22,Wednesday,7,30,0,2015,901,417,3,730,1000,321.0,391.0,357.7142857142857,404.93333333333334
2015-07-23,Thursday,7,30,0,2015,940,335,3,730,1000,417.0,440.0,361.42857142857144,402.96666666666664
2015-07-24,Friday,7,30,0,2015,937,354,3,730,1000,335.0,336.0,346.42857142857144,399.1666666666667
2015-07-25,Saturday,7,30,1,2015,802,368,3,730,1000,354.0,365.0,349.0,393.56666666666666
2015-07-26,Sunday,7,30,1,2015,658,353,3,730,1000,368.0,354.0,349.42857142857144,389.2
2015-07-27,Monday,7,31,0,2015,1008,435,3,730,1000,353.0,297.0,349.2857142857143,385.2
2015-07-28,Tuesday,7,31,0,2015,868,338,3,730,1000,435.0,321.0,369.0,389.3
2015-07-29,Wednesday,7,31,0,2015,880,337,3,730,1000,338.0,417.0,371.42857142857144,388.76666666666665
2015-07-30,Thursday,7,31,0,2015,884,435,3,730,1000,337.0,335.0,360.0,386.9
2015-07-31,Friday,7,31,0,2015,874,390,3,730,1000,435.0,354.0,374.2857142857143,387.53333333333336
2015-08-01,Saturday,8,31,1,2015,776,344,3,730,1000,390.0,368.0,379.42857142857144,382.8
2015-08-02,Sunday,8,31,1,2015,867,302,3,730,1000,344.0,353.0,376.0,381.43333333333334
2015-08-03,Monday,8,32,0,2015,887,382,3,730,1000,302.0,435.0,368.7142857142857,376.56666666666666
2015-08-04,Tuesday,8,32,0,2015,784,333,3,730,1000,382.0,338.0,361.14285714285717,378.3
2015-08-05,Wednesday,8,32,0,2015,939,360,3,730,1000,333.0,337.0,360.42857142857144,375.93333333333334
2015-08-06,Thursday,8,32,0,2015,912,399,3,730,1000,360.0,435.0,363.7142857142857,373.96666666666664
2015-08-07,Friday,8,32,0,2015,973,369,3,730,1000,399.0,390.0,358.57142857142856,372.23333333333335
2015-08-08,Saturday,8,32,1,2015,846,340,3,730,1000,369.0,344.0,355.57142857142856,371.8
2015-08-09,Sunday,8,32,1,2015,814,316,3,730,1000,340.0,302.0,355.0,369.3
2015-08-10,Monday,8,33,0,2015,892,354,3,730,1000,316.0,382.0,357.0,365.53333333333336
2015-08-11,Tuesday,8,33,0,2015,963,372,3,730,1000,354.0,333.0,353.0,365.8
2015-08-12,Wednesday,8,33,0,2015,814,395,3,730,1000,372.0,360.0,358.57142857142856,366.93333333333334
2015-08-13,Thursday,8,33,0,2015,1037,348,3,730,1000,395.0,399.0,363.57142857142856,365.73333333333335
2015-08-14,Friday,8,33,0,2015,830,364,3,730,1000,348.0,369.0,356.2857142857143,362.6666666666667
2015-08-15,Saturday,8,33,1,2015,740,319,3,730,1000,364.0,340.0,355.57142857142856,361.76666666666665
2015-08-16,Sunday,8,33,1,2015,736,296,3,730,1000,319.0,316.0,352.57142857142856,357.73333333333335
2015-08-17,Monday,8,34,0,2015,882,356,3,730,1000,296.0,354.0,349.7142857142857,356.4
2015-08-18,Tuesday,8,34,0,2015,964,485,3,730,1000,356.0,372.0,350.0,356.1
2015-08-19,Wednesday,8,34,0,2015,874,385,3,730,1000,485.0,395.0,366.14285714285717,360.46666666666664
2015-08-20,Thursday,8,34,0,2015,1044,379,3,730,1000,385.0,348.0,364.7142857142857,363.4
2015-08-21,Friday,8,34,0,2015,883,374,3,730,1000,379.0,364.0,369.14285714285717,365.3333333333333
2015-08-22,Saturday,8,34,1,2015,762,278,3,730,1000,374.0,319.0,370.57142857142856,363.9
2015-08-23,Sunday,8,34,1,2015,874,344,3,730,1000,278.0,296.0,364.7142857142857,362.0
2015-08-24,Monday,8,35,0,2015,891,426,3,730,1000,344.0,356.0,371.57142857142856,361.6666666666667
2015-08-25,Tuesday,8,35,0,2015,784,396,3,730,1000,426.0,485.0,381.57142857142856,363.6
2015-08-26,Wednesday,8,35,0,2015,937,369,3,730,1000,396.0,385.0,368.85714285714283,365.03333333333336
2015-08-27,Thursday,8,35,0,2015,878,378,3,730,1000,369.0,379.0,366.57142857142856,362.8333333333333
2015-08-28,Friday,8,35,0,2015,830,473,3,730,1000,378.0,374.0,366.42857142857144,364.1666666666667
2015-08-29,Saturday,8,35,1,2015,774,319,3,730,1000,473.0,278.0,380.57142857142856,368.7
2015-08-30,Sunday,8,35,1,2015,746,304,3,730,1000,319.0,344.0,386.42857142857144,364.8333333333333
2015-08-31,Monday,8,36,0,2015,839,376,3,730,1000,304.0,426.0,380.7142857142857,361.96666666666664
2015-09-01,Tuesday,9,36,0,2015,1011,365,3,730,1000,376.0,396.0,373.57142857142856,363.03333333333336
2015-09-02,Wednesday,9,36,0,2015,866,480,3,730,1000,365.0,369.0,369.14285714285717,365.1333333333333
2015-09-03,Thursday,9,36,0,2015,989,390,3,730,1000,480.0,378.0,385.0,368.4
2015-09-04,Friday,9,36,0,2015,918,410,3,730,1000,390.0,473.0,386.7142857142857,370.3
2015-09-05,Saturday,9,36,1,2015,855,342,3,730,1000,410.0,319.0,377.7142857142857,371.96666666666664
2015-09-06,Sunday,9,36,1,2015,822,317,3,730,1000,342.0,304.0,381.0,370.06666666666666
2015-09-07,Monday,9,37,0,2015,723,474,3,730,1000,317.0,376.0,382.85714285714283,368.3333333333333
2015-09-08,Tuesday,9,37,0,2015,1138,410,3,730,1000,474.0,365.0,396.85714285714283,372.8
2015-09-09,Wednesday,9,37,0,2015,946,461,3,730,1000,410.0,480.0,403.2857142857143,375.93333333333334
2015-09-10,Thursday,9,37,0,2015,912,506,3,730,1000,461.0,390.0,400.57142857142856,379.5
2015-09-11,Friday,9,37,0,2015,968,455,3,730,1000,506.0,410.0,417.14285714285717,383.96666666666664
2015-09-12,Saturday,9,37,1,2015,822,300,3,730,1000,455.0,342.0,423.57142857142856,385.96666666666664
2015-09-13,Sunday,9,37,1,2015,820,359,3,730,1000,300.0,317.0,417.57142857142856,384.3666666666667
2015-09-14,Monday,9,38,0,2015,1044,411,3,730,1000,359.0,474.0,423.57142857142856,384.2
2015-09-15,Tuesday,9,38,0,2015,1037,461,3,730,1000,411.0,410.0,414.57142857142856,387.26666666666665
2015-09-16,Wednesday,9,38,0,2015,1040,465,3,730,1000,461.0,461.0,421.85714285714283,392.76666666666665
2015-09-17,Thursday,9,38,0,2015,1019,480,3,730,1000,465.0,506.0,422.42857142857144,396.4
2015-09-18,Friday,9,38,0,2015,856,453,3,730,1000,480.0,455.0,418.7142857142857,396.23333333333335
2015-09-19,Saturday,9,38,1,2015,759,433,3,730,1000,453.0,300.0,418.42857142857144,398.5
2015-09-20,Sunday,9,38,1,2015,903,394,3,730,1000,433.0,359.0,437.42857142857144,400.3
2015-09-21,Monday,9,39,0,2015,979,488,3,730,1000,394.0,411.0,442.42857142857144,400.96666666666664
2015-09-22,Tuesday,9,39,0,2015,1147,554,3,730,1000,488.0,461.0,453.42857142857144,407.96666666666664
2015-09-23,Wednesday,9,39,0,2015,1041,492,3,730,1000,554.0,465.0,466.7142857142857,414.96666666666664
2015-09-24,Thursday,9,39,0,2015,1023,522,3,730,1000,492.0,480.0,470.57142857142856,417.1666666666667
2015-09-25,Friday,9,39,0,2015,1013,527,3,730,1000,522.0,453.0,476.57142857142856,421.3666666666667
2015-09-26,Saturday,9,39,1,2015,805,326,3,730,1000,527.0,433.0,487.14285714285717,426.6333333333333
2015-09-27,Sunday,9,39,1,2015,785,365,3,730,1000,326.0,394.0,471.85714285714283,424.9
2015-09-28,Monday,9,40,0,2015,971,500,3,730,1000,365.0,488.0,467.7142857142857,421.3
2015-09-29,Tuesday,9,40,0,2015,1260,593,3,730,1000,500.0,554.0,469.42857142857144,427.3333333333333
2015-09-30,Wednesday,9,40,0,2015,1009,522,3,730,1000,593.0,492.0,475.0,436.96666666666664
2015-10-01,Thursday,10,40,0,2015,1029,598,3,730,1000,522.0,522.0,479.2857142857143,441.8333333333333
2015-10-02,Friday,10,40,0,2015,1138,448,3,730,1000,598.0,527.0,490.14285714285717,449.6
2015-10-03,Saturday,10,40,1,2015,878,350,3,730,1000,448.0,326.0,478.85714285714283,448.53333333333336
2015-10-04,Sunday,10,40,1,2015,896,381,3,730,1000,350.0,365.0,482.2857142857143,447.2
2015-10-05,Monday,10,41,0,2015,983,601,3,730,1000,381.0,500.0,484.57142857142856,446.23333333333335
2015-10-06,Tuesday,10,41,0,2015,1251,543,3,730,1000,601.0,593.0,499.0,454.8666666666667
2015-10-07,Wednesday,10,41,0,2015,937,466,3,730,1000,543.0,522.0,491.85714285714283,462.4
2015-10-08,Thursday,10,41,0,2015,990,515,3,730,1000,466.0,598.0,483.85714285714283,462.1333333333333
2015-10-09,Friday,10,41,0,2015,974,606,3,730,1000,515.0,448.0,472.0,465.6333333333333
2015-10-10,Saturday,10,41,1,2015,828,429,3,730,1000,606.0,350.0,494.57142857142856,470.46666666666664
2015-10-11,Sunday,10,41,1,2015,961,430,3,730,1000,429.0,381.0,505.85714285714283,467.9
2015-10-12,Monday,10,42,0,2015,1072,594,3,730,1000,430.0,601.0,512.8571428571429,467.06666666666666
2015-10-13,Tuesday,10,42,0,2015,1149,661,3,730,1000,594.0,543.0,511.85714285714283,476.8666666666667
2015-10-14,Wednesday,10,42,0,2015,1037,636,3,730,1000,661.0,466.0,528.7142857142857,486.93333333333334
2015-10-15,Thursday,10,42,0,2015,1139,615,3,730,1000,636.0,515.0,553.0,494.43333333333334
2015-10-16,Friday,10,42,0,2015,1169,642,3,730,1000,615.0,606.0,567.2857142857143,499.56666666666666
2015-10-17,Saturday,10,42,1,2015,1018,409,3,730,1000,642.0,429.0,572.4285714285714,505.46666666666664
2015-10-18,Sunday,10,42,1,2015,951,533,3,730,1000,409.0,430.0,569.5714285714286,503.1
2015-10-19,Monday,10,43,0,2015,1076,518,3,730,1000,533.0,594.0,584.2857142857143,505.76666666666665
2015-10-20,Tuesday,10,43,0,2015,1257,581,3,730,1000,518.0,661.0,573.4285714285714,508.6
2015-10-21,Wednesday,10,43,0,2015,1066,565,3,730,1000,581.0,636.0,562.0,514.8333333333334
2015-10-22,Thursday,10,43,0,2015,1258,483,3,730,1000,565.0,615.0,551.8571428571429,517.4
2015-10-23,Friday,10,43,0,2015,1128,598,3,730,1000,483.0,642.0,533.0,515.0333333333333
2015-10-24,Saturday,10,43,1,2015,947,607,3,730,1000,598.0,409.0,526.7142857142857,518.5666666666667
2015-10-25,Sunday,10,43,1,2015,1064,513,3,730,1000,607.0,533.0,555.0,521.4
2015-10-26,Monday,10,44,0,2015,1247,623,3,730,1000,513.0,518.0,552.1428571428571,520.9333333333333
2015-10-27,Tuesday,10,44,0,2015,1221,669,3,730,1000,623.0,581.0,567.1428571428571,530.8333333333334
2015-10-28,Wednesday,10,44,0,2015,1083,590,3,730,1000,669.0,565.0,579.7142857142857,540.9666666666667
2015-10-29,Thursday,10,44,0,2015,1097,604,3,730,1000,590.0,483.0,583.2857142857143,543.9666666666667
2015-10-30,Friday,10,44,0,2015,1081,701,3,730,1000,604.0,598.0,600.5714285714286,544.3333333333334
2015-10-31,Saturday,10,44,1,2015,1004,531,3,730,1000,701.0,607.0,615.2857142857143,550.3
2015-11-01,Sunday,11,44,1,2015,961,556,3,730,1000,531.0,513.0,604.4285714285714,548.0666666666667
2015-11-02,Monday,11,45,0,2015,1186,717,3,730,1000,556.0,623.0,610.5714285714286,551.6666666666666
2015-11-03,Tuesday,11,45,0,2015,1086,494,3,730,1000,717.0,669.0,624.0,563.9
2015-11-04,Wednesday,11,45,0,2015,1241,677,3,730,1000,494.0,590.0,599.0,567.6666666666666
2015-11-05,Thursday,11,45,0,2015,1115,647,3,730,1000,677.0,604.0,611.4285714285714,570.2
2015-11-06,Friday,11,45,0,2015,1307,678,3,730,1000,647.0,701.0,617.5714285714286,573.6666666666666
2015-11-07,Saturday,11,45,1,2015,986,644,3,730,1000,678.0,531.0,614.2857142857143,580.7333333333333
2015-11-08,Sunday,11,45,1,2015,901,669,3,730,1000,644.0,556.0,630.4285714285714,585.0333333333333
2015-11-09,Monday,11,46,0,2015,1224,725,3,730,1000,669.0,717.0,646.5714285714286,587.1333333333333
2015-11-10,Tuesday,11,46,0,2015,1309,913,3,730,1000,725.0,494.0,647.7142857142857,597.0
2015-11-11,Wednesday,11,46,0,2015,1350,697,3,730,1000,913.0,677.0,707.5714285714286,613.1
2015-11-12,Thursday,11,46,0,2015,1113,687,3,730,1000,697.0,647.0,710.4285714285714,616.5333333333333
2015-11-13,Friday,11,46,0,2015,1293,809,3,730,1000,687.0,678.0,716.1428571428571,617.4
2015-11-14,Saturday,11,46,1,2015,1025,485,3,730,1000,809.0,644.0,734.8571428571429,623.1666666666666
2015-11-15,Sunday,11,46,1,2015,1043,744,3,730,1000,485.0,669.0,712.1428571428571,618.8333333333334
2015-11-16,Monday,11,47,0,2015,1147,739,3,730,1000,744.0,725.0,722.8571428571429,622.2333333333333
2015-11-17,Tuesday,11,47,0,2015,1267,810,3,730,1000,739.0,913.0,724.8571428571429,633.2333333333333
2015-11-18,Wednesday,11,47,0,2015,1291,703,3,730,1000,810.0,697.0,710.1428571428571,642.4666666666667
2015-11-19,Thursday,11,47,0,2015,1334,771,3,730,1000,703.0,687.0,711.0,648.6333333333333
2015-11-20,Friday,11,47,0,2015,1206,813,3,730,1000,771.0,809.0,723.0,654.9666666666667
2015-11-21,Saturday,11,47,1,2015,1086,618,3,730,1000,813.0,485.0,723.5714285714286,663.2333333333333
2015-11-22,Sunday,11,47,1,2015,1151,715,3,730,1000,618.0,744.0,742.5714285714286,667.7333333333333
2015-11-23,Monday,11,48,0,2015,1398,822,3,730,1000,715.0,739.0,738.4285714285714,671.6333333333333
2015-11-24,Tuesday,11,48,0,2015,1341,779,3,730,1000,822.0,810.0,750.2857142857143,678.8
2015-11-25,Wednesday,11,48,0,2015,1373,930,3,730,1000,779.0,703.0,745.8571428571429,687.6666666666666
2015-11-26,Thursday,11,48,0,2015,1300,777,3,730,1000,930.0,771.0,778.2857142857143,697.9
2015-11-27,Friday,11,48,0,2015,1377,911,3,730,1000,777.0,813.0,779.1428571428571,701.5
2015-11-28,Saturday,11,48,1,2015,1104,691,3,730,1000,911.0,618.0,793.1428571428571,712.2
2015-11-29,Sunday,11,48,1,2015,1064,723,3,730,1000,691.0,715.0,803.5714285714286,715.1
2015-11-30,Monday,11,49,0,2015,1279,799,3,730,1000,723.0,822.0,804.7142857142857,715.8333333333334
2015-12-01,Tuesday,12,49,0,2015,1300,795,3,730,1000,799.0,779.0,801.4285714285714,724.7666666666667
2015-12-02,Wednesday,12,49,0,2015,1338,779,3,730,1000,795.0,930.0,803.7142857142857,732.7333333333333
2015-12-03,Thursday,12,49,0,2015,1458,883,3,730,1000,779.0,777.0,782.1428571428571,734.8
2015-12-04,Friday,12,49,0,2015,1376,1010,3,730,1000,883.0,911.0,797.2857142857143,747.7666666666667
2015-12-05,Saturday,12,49,1,2015,1233,670,3,730,1000,1010.0,691.0,811.4285714285714,758.8666666666667
2015-12-06,Sunday,12,49,1,2015,1091,694,3,730,1000,670.0,723.0,808.4285714285714,759.6333333333333
2015-12-07,Monday,12,50,0,2015,1251,842,3,730,1000,694.0,799.0,804.2857142857143,760.1666666666666
2015-12-08,Tuesday,12,50,0,2015,1404,983,3,730,1000,842.0,795.0,810.4285714285714,766.7666666666667
2015-12-09,Wednesday,12,50,0,2015,1300,858,3,730,1000,983.0,779.0,837.2857142857143,777.2333333333333
2015-12-10,Thursday,12,50,0,2015,1302,995,3,730,1000,858.0,883.0,848.5714285714286,781.6666666666666
2015-12-11,Friday,12,50,0,2015,1279,956,3,730,1000,995.0,1010.0,864.5714285714286,784.4
2015-12-12,Saturday,12,50,1,2015,1129,781,3,730,1000,956.0,670.0,856.8571428571429,793.0333333333333
2015-12-13,Sunday,12,50,1,2015,1340,721,3,730,1000,781.0,694.0,872.7142857142857,796.1666666666666
2015-12-14,Monday,12,51,0,2015,1405,826,3,730,1000,721.0,842.0,876.5714285714286,793.2333333333333
2015-12-15,Tuesday,12,51,0,2015,1356,995,3,730,1000,826.0,983.0,874.2857142857143,804.6
2015-12-16,Wednesday,12,51,0,2015,1457,915,3,730,1000,995.0,858.0,876.0,812.9666666666667
2015-12-17,Thursday,12,51,0,2015,1259,843,3,730,1000,915.0,995.0,884.1428571428571,818.8333333333334
2015-12-18,Friday,12,51,0,2015,1361,797,3,730,1000,843.0,956.0,862.4285714285714,819.9333333333333
2015-12-19,Saturday,12,51,1,2015,1306,901,3,730,1000,797.0,781.0,839.7142857142857,823.0666666666667
2015-12-20,Sunday,12,51,1,2015,1142,813,3,730,1000,901.0,721.0,856.8571428571429,827.4
2015-12-21,Monday,12,52,0,2015,1231,929,3,730,1000,813.0,826.0,870.0,827.4
2015-12-22,Tuesday,12,52,0,2015,1467,1084,3,730,1000,929.0,995.0,884.7142857142857,837.7666666666667
2015-12-23,Wednesday,12,52,0,2015,1611,758,3,730,1000,1084.0,915.0,897.4285714285714,850.0666666666667
2015-12-24,Thursday,12,52,0,2015,1454,1019,3,730,1000,758.0,843.0,875.0,847.9333333333333
2015-12-25,Friday,12,52,0,2015,1580,1091,3,730,1000,1019.0,797.0,900.1428571428571,855.9333333333333
2015-12-26,Saturday,12,52,1,2015,1238,884,3,730,1000,1091.0,901.0,942.1428571428571,861.3
2015-12-27,Sunday,12,52,1,2015,1235,689,3,730,1000,884.0,813.0,939.7142857142857,864.8666666666667
2015-12-28,Monday,12,53,0,2015,1423,781,3,730,1000,689.0,929.0,922.0,857.4666666666667
2015-12-29,Tuesday,12,53,0,2015,1305,1030,3,730,1000,781.0,1084.0,900.8571428571429,860.4666666666667
2015-12-30,Wednesday,12,53,0,2015,1402,988,3,730,1000,1030.0,758.0,893.1428571428571,870.7
2015-12-31,Thursday,12,53,0,2015,1305,1079,3,730,1000,988.0,1019.0,926.0,877.0
2016-01-01,Friday,1,53,0,2016,1421,893,3,730,1000,1079.0,1091.0,934.5714285714286,886.4666666666667
2016-01-02,Saturday,1,53,1,2016,1176,759,3,730,1000,893.0,884.0,906.2857142857143,890.2666666666667
2016-01-03,Sunday,1,53,1,2016,1268,877,3,730,1000,759.0,689.0,888.4285714285714,886.1333333333333
